,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
458,0.1327,0.2344,0.1327,1.0,0,15,0,98,PU_LP,CiteSeer,0.17,113,113
459,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.17,113,113
460,0.9,0.9474,0.9,1.0,0,108,0,12,MCLS,CiteSeer,0.18,120,120
461,0.8167,0.8991,0.8167,1.0,0,98,0,22,CCRNE,CiteSeer,0.18,120,120
462,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.18,0,120
463,0.3083,0.4713,0.3083,1.0,0,37,0,83,PU_LP,CiteSeer,0.18,120,120
464,0.9917,0.9958,0.9917,1.0,0,119,0,1,LP_PUL,CiteSeer,0.18,120,120
465,0.873,0.9322,0.873,1.0,0,110,0,16,MCLS,CiteSeer,0.19,126,126
466,0.8413,0.9138,0.8413,1.0,0,106,0,20,CCRNE,CiteSeer,0.19,126,126
467,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.19,0,126
468,0.246,0.3949,0.246,1.0,0,31,0,95,PU_LP,CiteSeer,0.19,126,126
469,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.19,126,126
470,0.9248,0.9609,0.9248,1.0,0,123,0,10,MCLS,CiteSeer,0.2,133,133
471,0.797,0.887,0.797,1.0,0,106,0,27,CCRNE,CiteSeer,0.2,133,133
472,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.2,0,133
473,0.1805,0.3057,0.1805,1.0,0,24,0,109,PU_LP,CiteSeer,0.2,133,133
474,0.9925,0.9962,0.9925,1.0,0,132,0,1,LP_PUL,CiteSeer,0.2,133,133
475,0.8786,0.9354,0.8786,1.0,0,123,0,17,MCLS,CiteSeer,0.21,140,140
476,0.8071,0.8933,0.8071,1.0,0,113,0,27,CCRNE,CiteSeer,0.21,140,140
477,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.21,0,140
478,0.25,0.4,0.25,1.0,0,35,0,105,PU_LP,CiteSeer,0.21,140,140
479,0.9929,0.9964,0.9929,1.0,0,139,0,1,LP_PUL,CiteSeer,0.21,140,140
480,0.9048,0.95,0.9048,1.0,0,19,0,2,MCLS,CiteSeer,0.22,21,146
481,0.7945,0.8855,0.7945,1.0,0,116,0,30,CCRNE,CiteSeer,0.22,146,146
482,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.22,0,146
483,0.363,0.5327,0.363,1.0,0,53,0,93,PU_LP,CiteSeer,0.22,146,146
484,0.9863,0.9931,0.9863,1.0,0,144,0,2,LP_PUL,CiteSeer,0.22,146,146
485,0.9216,0.9592,0.9216,1.0,0,141,0,12,MCLS,CiteSeer,0.23,153,153
486,0.8039,0.8913,0.8039,1.0,0,123,0,30,CCRNE,CiteSeer,0.23,153,153
487,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.23,0,153
488,0.3922,0.5634,0.3922,1.0,0,60,0,93,PU_LP,CiteSeer,0.23,153,153
489,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.23,153,153
490,0.925,0.961,0.925,1.0,0,148,0,12,MCLS,CiteSeer,0.24,160,160
491,0.8438,0.9153,0.8438,1.0,0,135,0,25,CCRNE,CiteSeer,0.24,160,160
492,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.24,0,160
493,0.35,0.5185,0.35,1.0,0,56,0,104,PU_LP,CiteSeer,0.24,160,160
494,0.9688,0.9841,0.9688,1.0,0,155,0,5,LP_PUL,CiteSeer,0.24,160,160
495,0.8922,0.943,0.8922,1.0,0,149,0,18,MCLS,CiteSeer,0.25,167,167
496,0.7844,0.8792,0.7844,1.0,0,131,0,36,CCRNE,CiteSeer,0.25,167,167
497,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.25,0,167
498,0.4012,0.5726,0.4012,1.0,0,67,0,100,PU_LP,CiteSeer,0.25,167,167
499,0.982,0.9909,0.982,1.0,0,164,0,3,LP_PUL,CiteSeer,0.25,167,167
500,1.0,1.0,1.0,1.0,,,,,MCLS,CiteSeer,0.01,6,6
501,1.0,1.0,1.0,1.0,,,,,CCRNE,CiteSeer,0.01,6,6
502,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.01,0,6
503,0.0,0.0,0.0,0.0,0,0,0,6,PU_LP,CiteSeer,0.01,6,6
504,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.01,6,6
505,1.0,1.0,1.0,1.0,,,,,MCLS,CiteSeer,0.02,13,13
506,0.7692,0.8696,0.7692,1.0,0,10,0,3,CCRNE,CiteSeer,0.02,13,13
507,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.02,0,13
508,0.0,0.0,0.0,0.0,0,0,0,13,PU_LP,CiteSeer,0.02,13,13
509,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.02,13,13
510,0.875,0.9333,0.875,1.0,0,7,0,1,MCLS,CiteSeer,0.03,8,20
511,0.65,0.7879,0.65,1.0,0,13,0,7,CCRNE,CiteSeer,0.03,20,20
512,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.03,0,20
513,0.0,0.0,0.0,0.0,0,0,0,20,PU_LP,CiteSeer,0.03,20,20
514,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.03,20,20
515,0.8947,0.9444,0.8947,1.0,0,17,0,2,MCLS,CiteSeer,0.04,19,26
516,0.6538,0.7907,0.6538,1.0,0,17,0,9,CCRNE,CiteSeer,0.04,26,26
517,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.04,0,26
518,0.0,0.0,0.0,0.0,0,0,0,26,PU_LP,CiteSeer,0.04,26,26
519,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.04,26,26
520,0.8788,0.9355,0.8788,1.0,0,29,0,4,MCLS,CiteSeer,0.05,33,33
521,0.8182,0.9,0.8182,1.0,0,27,0,6,CCRNE,CiteSeer,0.05,33,33
522,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.05,0,33
523,0.0,0.0,0.0,0.0,0,0,0,33,PU_LP,CiteSeer,0.05,33,33
524,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.05,33,33
525,0.95,0.9744,0.95,1.0,0,38,0,2,MCLS,CiteSeer,0.06,40,40
526,0.875,0.9333,0.875,1.0,0,35,0,5,CCRNE,CiteSeer,0.06,40,40
527,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.06,0,40
528,0.075,0.1395,0.075,1.0,0,3,0,37,PU_LP,CiteSeer,0.06,40,40
529,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.06,40,40
530,0.913,0.9545,0.913,1.0,0,42,0,4,MCLS,CiteSeer,0.07,46,46
531,0.7826,0.878,0.7826,1.0,0,36,0,10,CCRNE,CiteSeer,0.07,46,46
532,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.07,0,46
533,0.0435,0.0833,0.0435,1.0,0,2,0,44,PU_LP,CiteSeer,0.07,46,46
534,0.9783,0.989,0.9783,1.0,0,45,0,1,LP_PUL,CiteSeer,0.07,46,46
535,0.9057,0.9505,0.9057,1.0,0,48,0,5,MCLS,CiteSeer,0.08,53,53
536,0.8491,0.9184,0.8491,1.0,0,45,0,8,CCRNE,CiteSeer,0.08,53,53
537,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.08,0,53
538,0.0377,0.0727,0.0377,1.0,0,2,0,51,PU_LP,CiteSeer,0.08,53,53
539,1.0,1.0,1.0,1.0,,,,,LP_PUL,CiteSeer,0.08,53,53
540,0.85,0.9189,0.85,1.0,0,51,0,9,MCLS,CiteSeer,0.09,60,60
541,0.9167,0.9565,0.9167,1.0,0,55,0,5,CCRNE,CiteSeer,0.09,60,60
542,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.09,0,60
543,0.0667,0.125,0.0667,1.0,0,4,0,56,PU_LP,CiteSeer,0.09,60,60
544,0.9667,0.9831,0.9667,1.0,0,58,0,2,LP_PUL,CiteSeer,0.09,60,60
545,0.9167,0.9565,0.9167,1.0,0,22,0,2,MCLS,CiteSeer,0.1,24,66
546,0.8182,0.9,0.8182,1.0,0,54,0,12,CCRNE,CiteSeer,0.1,66,66
547,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.1,0,66
548,0.1667,0.2857,0.1667,1.0,0,11,0,55,PU_LP,CiteSeer,0.1,66,66
549,0.9848,0.9924,0.9848,1.0,0,65,0,1,LP_PUL,CiteSeer,0.1,66,66
550,1.0,1.0,1.0,1.0,,,,,MCLS,CiteSeer,0.11,9,73
551,0.7945,0.8855,0.7945,1.0,0,58,0,15,CCRNE,CiteSeer,0.11,73,73
552,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.11,0,73
553,0.0685,0.1282,0.0685,1.0,0,5,0,68,PU_LP,CiteSeer,0.11,73,73
554,0.9863,0.9931,0.9863,1.0,0,72,0,1,LP_PUL,CiteSeer,0.11,73,73
555,0.925,0.961,0.925,1.0,0,74,0,6,MCLS,CiteSeer,0.12,80,80
556,0.8125,0.8966,0.8125,1.0,0,65,0,15,CCRNE,CiteSeer,0.12,80,80
557,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.12,0,80
558,0.075,0.1395,0.075,1.0,0,6,0,74,PU_LP,CiteSeer,0.12,80,80
559,0.9875,0.9937,0.9875,1.0,0,79,0,1,LP_PUL,CiteSeer,0.12,80,80
560,0.9651,0.9822,0.9651,1.0,0,83,0,3,MCLS,CiteSeer,0.13,86,86
561,0.8372,0.9114,0.8372,1.0,0,72,0,14,CCRNE,CiteSeer,0.13,86,86
562,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.13,0,86
563,0.0581,0.1099,0.0581,1.0,0,5,0,81,PU_LP,CiteSeer,0.13,86,86
564,0.9884,0.9942,0.9884,1.0,0,85,0,1,LP_PUL,CiteSeer,0.13,86,86
565,0.8495,0.9186,0.8495,1.0,0,79,0,14,MCLS,CiteSeer,0.14,93,93
566,0.8495,0.9186,0.8495,1.0,0,79,0,14,CCRNE,CiteSeer,0.14,93,93
567,,0.0,0.0,0.0,,,,,RCSVM,CiteSeer,0.14,0,93
