,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
61,0.2128,0.351,0.2128,1.0,0,219,0,810,CCRNE,dblp,0.13,1029,1029
62,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.13,0,1029
63,0.2119,0.3496,0.2119,1.0,0,218,0,811,PU_LP,dblp,0.13,1029,1029
64,0.9436,0.971,0.9436,1.0,0,971,0,58,LP_PUL,dblp,0.13,1029,1029
65,0.6218,0.7668,0.6218,1.0,0,689,0,419,MCLS,dblp,0.14,1108,1108
66,0.2356,0.3813,0.2356,1.0,0,261,0,847,CCRNE,dblp,0.14,1108,1108
67,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.14,0,1108
68,0.2681,0.4228,0.2681,1.0,0,297,0,811,PU_LP,dblp,0.14,1108,1108
69,0.9495,0.9741,0.9495,1.0,0,1052,0,56,LP_PUL,dblp,0.14,1108,1108
70,0.7351,0.8473,0.7351,1.0,0,655,0,236,MCLS,dblp,0.15,891,1188
71,0.2382,0.3848,0.2382,1.0,0,283,0,905,CCRNE,dblp,0.15,1188,1188
72,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.15,0,1188
73,0.2298,0.3737,0.2298,1.0,0,273,0,915,PU_LP,dblp,0.15,1188,1188
74,0.9512,0.975,0.9512,1.0,0,1130,0,58,LP_PUL,dblp,0.15,1188,1188
75,0.2897,0.4492,0.2897,1.0,0,367,0,900,MCLS,dblp,0.16,1267,1267
76,0.2384,0.385,0.2384,1.0,0,302,0,965,CCRNE,dblp,0.16,1267,1267
77,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.16,0,1267
78,0.2636,0.4172,0.2636,1.0,0,334,0,933,PU_LP,dblp,0.16,1267,1267
79,0.944,0.9712,0.944,1.0,0,1196,0,71,LP_PUL,dblp,0.16,1267,1267
80,0.3403,0.5078,0.3403,1.0,0,458,0,888,MCLS,dblp,0.17,1346,1346
81,0.2496,0.3995,0.2496,1.0,0,336,0,1010,CCRNE,dblp,0.17,1346,1346
82,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.17,0,1346
83,0.3262,0.4919,0.3262,1.0,0,439,0,907,PU_LP,dblp,0.17,1346,1346
84,0.9383,0.9682,0.9383,1.0,0,1263,0,83,LP_PUL,dblp,0.17,1346,1346
85,0.7361,0.848,0.7361,1.0,0,1049,0,376,MCLS,dblp,0.18,1425,1425
86,0.2274,0.3705,0.2274,1.0,0,324,0,1101,CCRNE,dblp,0.18,1425,1425
87,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.18,0,1425
88,0.3004,0.462,0.3004,1.0,0,428,0,997,PU_LP,dblp,0.18,1425,1425
89,0.9326,0.9651,0.9326,1.0,0,1329,0,96,LP_PUL,dblp,0.18,1425,1425
90,0.5452,0.7057,0.5452,1.0,0,820,0,684,MCLS,dblp,0.19,1504,1504
91,0.2985,0.4598,0.2985,1.0,0,449,0,1055,CCRNE,dblp,0.19,1504,1504
92,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.19,0,1504
93,0.3132,0.477,0.3132,1.0,0,471,0,1033,PU_LP,dblp,0.19,1504,1504
94,0.9262,0.9617,0.9262,1.0,0,1393,0,111,LP_PUL,dblp,0.19,1504,1504
95,0.6894,0.8161,0.6894,1.0,0,1092,0,492,MCLS,dblp,0.2,1584,1584
96,0.2468,0.3959,0.2468,1.0,0,391,0,1193,CCRNE,dblp,0.2,1584,1584
97,,0.0,0.0,0.0,,,,,RCSVM,dblp,0.2,0,1584
