,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives,epochs_neginf,epochs_pu
53,0.8314,0.6104,0.8675,0.4708,347,1837,53,390,RGCN,Cora,0.1,81,81,21,131
54,0.8298,0.6137,0.8452,0.4817,355,1825,65,382,RGCN,Cora,0.1,81,81,21,141
55,0.8527,0.6762,0.8821,0.5482,404,1836,54,333,RGCN,Cora,0.1,81,81,21,151
56,0.8139,0.533,0.9,0.3786,279,1859,31,458,RGCN,Cora,0.1,81,81,21,161
57,0.8051,0.5133,0.8571,0.3664,270,1845,45,467,RGCN,Cora,0.1,81,81,21,171
58,0.8416,0.6463,0.8656,0.5156,380,1831,59,357,RGCN,Cora,0.1,81,81,21,181
59,0.826,0.5772,0.907,0.4233,312,1858,32,425,RGCN,Cora,0.1,81,81,21,191
60,0.5291,0.4831,0.349,0.7843,578,812,1078,159,RGCN,Cora,0.1,81,81,31,1
61,0.8104,0.6719,0.653,0.692,510,1619,271,227,RGCN,Cora,0.1,81,81,31,11
62,0.7834,0.6533,0.5929,0.7273,536,1522,368,201,RGCN,Cora,0.1,81,81,31,21
63,0.8093,0.6807,0.6418,0.7246,534,1592,298,203,RGCN,Cora,0.1,81,81,31,31
64,0.858,0.7235,0.7974,0.6621,488,1766,124,249,RGCN,Cora,0.1,81,81,31,41
65,0.8428,0.6948,0.763,0.6377,470,1744,146,267,RGCN,Cora,0.1,81,81,31,51
66,0.8489,0.7061,0.7769,0.6472,477,1753,137,260,RGCN,Cora,0.1,81,81,31,61
67,0.8489,0.6857,0.8232,0.5875,433,1797,93,304,RGCN,Cora,0.1,81,81,31,71
68,0.8272,0.6333,0.7824,0.5319,392,1781,109,345,RGCN,Cora,0.1,81,81,31,81
69,0.8306,0.6319,0.8093,0.5183,382,1800,90,355,RGCN,Cora,0.1,81,81,31,91
70,0.8196,0.6717,0.686,0.6581,485,1668,222,252,RGCN,Cora,0.1,81,81,31,101
71,0.8306,0.6009,0.8862,0.4545,335,1847,43,402,RGCN,Cora,0.1,81,81,31,111
72,0.8317,0.6039,0.8892,0.4573,337,1848,42,400,RGCN,Cora,0.1,81,81,31,121
73,0.826,0.603,0.8382,0.4708,347,1823,67,390,RGCN,Cora,0.1,81,81,31,131
74,0.8024,0.5514,0.7595,0.4328,319,1789,101,418,RGCN,Cora,0.1,81,81,31,141
75,0.8177,0.5561,0.8772,0.4071,300,1848,42,437,RGCN,Cora,0.1,81,81,31,151
76,0.7922,0.454,0.8631,0.308,227,1854,36,510,RGCN,Cora,0.1,81,81,31,161
77,0.8078,0.514,0.8841,0.3623,267,1855,35,470,RGCN,Cora,0.1,81,81,31,171
78,0.8222,0.5607,0.9141,0.4043,298,1862,28,439,RGCN,Cora,0.1,81,81,31,181
79,0.7967,0.4606,0.9012,0.3094,228,1865,25,509,RGCN,Cora,0.1,81,81,31,191
80,0.5154,0.1674,0.1616,0.1737,128,1226,664,609,RGCN,Cora,0.1,81,81,41,1
81,0.8435,0.728,0.7106,0.7463,550,1666,224,187,RGCN,Cora,0.1,81,81,41,11
82,0.7971,0.6406,0.6367,0.6445,475,1619,271,262,RGCN,Cora,0.1,81,81,41,21
83,0.7998,0.6662,0.6257,0.7123,525,1576,314,212,RGCN,Cora,0.1,81,81,41,31
84,0.8519,0.7064,0.7959,0.635,468,1770,120,269,RGCN,Cora,0.1,81,81,41,41
85,0.8188,0.6293,0.7386,0.5482,404,1747,143,333,RGCN,Cora,0.1,81,81,41,51
86,0.834,0.6342,0.8308,0.5129,378,1813,77,359,RGCN,Cora,0.1,81,81,41,61
87,0.85,0.677,0.8551,0.5604,413,1820,70,324,RGCN,Cora,0.1,81,81,41,71
88,0.8199,0.6048,0.787,0.4912,362,1792,98,375,RGCN,Cora,0.1,81,81,41,81
89,0.8375,0.6713,0.7758,0.5916,436,1764,126,301,RGCN,Cora,0.1,81,81,41,91
90,0.834,0.6267,0.8492,0.4966,366,1825,65,371,RGCN,Cora,0.1,81,81,41,101
91,0.834,0.6248,0.8541,0.4925,363,1828,62,374,RGCN,Cora,0.1,81,81,41,111
92,0.8165,0.583,0.8043,0.4573,337,1808,82,400,RGCN,Cora,0.1,81,81,41,121
93,0.8249,0.6082,0.8169,0.4844,357,1810,80,380,RGCN,Cora,0.1,81,81,41,131
94,0.8207,0.585,0.8342,0.4505,332,1824,66,405,RGCN,Cora,0.1,81,81,41,141
95,0.8146,0.5577,0.8434,0.4166,307,1833,57,430,RGCN,Cora,0.1,81,81,41,151
96,0.8348,0.6328,0.8404,0.5075,374,1819,71,363,RGCN,Cora,0.1,81,81,41,161
97,0.8158,0.5584,0.8524,0.4152,306,1837,53,431,RGCN,Cora,0.1,81,81,41,171
98,0.8222,0.5893,0.8375,0.4545,335,1825,65,402,RGCN,Cora,0.1,81,81,41,181
99,0.8131,0.5449,0.8596,0.3989,294,1842,48,443,RGCN,Cora,0.1,81,81,41,191
100,0.697,0.2103,0.3911,0.1438,106,1725,165,631,RGCN,Cora,0.1,81,81,51,1
101,0.8215,0.5932,0.8221,0.464,342,1816,74,395,RGCN,Cora,0.1,81,81,51,11
102,0.8257,0.6354,0.7688,0.5414,399,1770,120,338,RGCN,Cora,0.1,81,81,51,21
103,0.8287,0.6706,0.7281,0.6214,458,1719,171,279,RGCN,Cora,0.1,81,81,51,31
