,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
66,0.554,0.713,0.554,1.0,0,77,0,62,SkipNodeGCN,Cora,0.17,139,139
67,0.9281,0.9627,0.9281,1.0,0,129,0,10,DropEdgeGCN,Cora,0.17,139,139
68,0.9456,0.972,0.9456,1.0,0,139,0,8,RGCN,Cora,0.18,147,147
69,0.9116,0.9537,0.9116,1.0,0,134,0,13,GCN,Cora,0.18,147,147
70,0.6599,0.7951,0.6599,1.0,0,97,0,50,SkipNodeGCN,Cora,0.18,147,147
71,0.9252,0.9611,0.9252,1.0,0,136,0,11,DropEdgeGCN,Cora,0.18,147,147
72,0.9548,0.9769,0.9548,1.0,0,148,0,7,RGCN,Cora,0.19,155,155
73,0.929,0.9632,0.929,1.0,0,144,0,11,GCN,Cora,0.19,155,155
74,0.6323,0.7747,0.6323,1.0,0,98,0,57,SkipNodeGCN,Cora,0.19,155,155
75,0.8903,0.942,0.8903,1.0,0,138,0,17,DropEdgeGCN,Cora,0.19,155,155
76,0.9387,0.9684,0.9387,1.0,0,153,0,10,RGCN,Cora,0.2,163,163
77,0.908,0.9518,0.908,1.0,0,148,0,15,GCN,Cora,0.2,163,163
78,0.5951,0.7462,0.5951,1.0,0,97,0,66,SkipNodeGCN,Cora,0.2,163,163
79,0.8957,0.945,0.8957,1.0,0,146,0,17,DropEdgeGCN,Cora,0.2,163,163
80,0.9591,0.9791,0.9591,1.0,0,164,0,7,RGCN,Cora,0.21,171,171
81,0.9181,0.9573,0.9181,1.0,0,157,0,14,GCN,Cora,0.21,171,171
82,0.7251,0.8407,0.7251,1.0,0,124,0,47,SkipNodeGCN,Cora,0.21,171,171
83,0.9181,0.9573,0.9181,1.0,0,157,0,14,DropEdgeGCN,Cora,0.21,171,171
84,0.933,0.9653,0.933,1.0,0,167,0,12,RGCN,Cora,0.22,179,179
85,0.9218,0.9593,0.9218,1.0,0,165,0,14,GCN,Cora,0.22,179,179
86,0.6313,0.774,0.6313,1.0,0,113,0,66,SkipNodeGCN,Cora,0.22,179,179
87,0.9274,0.9623,0.9274,1.0,0,166,0,13,DropEdgeGCN,Cora,0.22,179,179
88,0.9468,0.9727,0.9468,1.0,0,178,0,10,RGCN,Cora,0.23,188,188
89,0.9309,0.9642,0.9309,1.0,0,175,0,13,GCN,Cora,0.23,188,188
90,0.7074,0.8287,0.7074,1.0,0,133,0,55,SkipNodeGCN,Cora,0.23,188,188
91,0.9309,0.9642,0.9309,1.0,0,175,0,13,DropEdgeGCN,Cora,0.23,188,188
92,0.949,0.9738,0.949,1.0,0,186,0,10,RGCN,Cora,0.24,196,196
93,0.9286,0.963,0.9286,1.0,0,182,0,14,GCN,Cora,0.24,196,196
94,0.6531,0.7901,0.6531,1.0,0,128,0,68,SkipNodeGCN,Cora,0.24,196,196
95,0.9184,0.9574,0.9184,1.0,0,180,0,16,DropEdgeGCN,Cora,0.24,196,196
96,0.9559,0.9774,0.9559,1.0,0,195,0,9,RGCN,Cora,0.25,204,204
97,0.9118,0.9538,0.9118,1.0,0,186,0,18,GCN,Cora,0.25,204,204
98,0.6863,0.814,0.6863,1.0,0,140,0,64,SkipNodeGCN,Cora,0.25,204,204
99,0.902,0.9485,0.902,1.0,0,184,0,20,DropEdgeGCN,Cora,0.25,204,204
100,0.625,0.7692,0.625,1.0,0,5,0,3,RGCN,Cora,0.01,8,8
101,0.875,0.9333,0.875,1.0,0,7,0,1,GCN,Cora,0.01,8,8
102,0.375,0.5455,0.375,1.0,0,3,0,5,SkipNodeGCN,Cora,0.01,8,8
103,0.625,0.7692,0.625,1.0,0,5,0,3,DropEdgeGCN,Cora,0.01,8,8
104,0.6875,0.8148,0.6875,1.0,0,11,0,5,RGCN,Cora,0.02,16,16
105,0.875,0.9333,0.875,1.0,0,14,0,2,GCN,Cora,0.02,16,16
106,0.75,0.8571,0.75,1.0,0,12,0,4,SkipNodeGCN,Cora,0.02,16,16
107,0.8125,0.8966,0.8125,1.0,0,13,0,3,DropEdgeGCN,Cora,0.02,16,16
108,0.9583,0.9787,0.9583,1.0,0,23,0,1,RGCN,Cora,0.03,24,24
109,0.75,0.8571,0.75,1.0,0,18,0,6,GCN,Cora,0.03,24,24
110,0.4583,0.6286,0.4583,1.0,0,11,0,13,SkipNodeGCN,Cora,0.03,24,24
111,0.8333,0.9091,0.8333,1.0,0,20,0,4,DropEdgeGCN,Cora,0.03,24,24
112,0.9062,0.9508,0.9062,1.0,0,29,0,3,RGCN,Cora,0.04,32,32
113,0.7188,0.8364,0.7188,1.0,0,23,0,9,GCN,Cora,0.04,32,32
114,0.625,0.7692,0.625,1.0,0,20,0,12,SkipNodeGCN,Cora,0.04,32,32
115,0.875,0.9333,0.875,1.0,0,28,0,4,DropEdgeGCN,Cora,0.04,32,32
116,0.925,0.961,0.925,1.0,0,37,0,3,RGCN,Cora,0.05,40,40
117,0.85,0.9189,0.85,1.0,0,34,0,6,GCN,Cora,0.05,40,40
118,0.725,0.8406,0.725,1.0,0,29,0,11,SkipNodeGCN,Cora,0.05,40,40
119,0.85,0.9189,0.85,1.0,0,34,0,6,DropEdgeGCN,Cora,0.05,40,40
120,0.9184,0.9574,0.9184,1.0,0,45,0,4,RGCN,Cora,0.06,49,49
121,0.8571,0.9231,0.8571,1.0,0,42,0,7,GCN,Cora,0.06,49,49
122,0.5102,0.6757,0.5102,1.0,0,25,0,24,SkipNodeGCN,Cora,0.06,49,49
123,0.8163,0.8989,0.8163,1.0,0,40,0,9,DropEdgeGCN,Cora,0.06,49,49
124,0.9649,0.9821,0.9649,1.0,0,55,0,2,RGCN,Cora,0.07,57,57
125,0.9123,0.9541,0.9123,1.0,0,52,0,5,GCN,Cora,0.07,57,57
