,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
122,0.7274,0.522,0.4942,0.5532,385,1496,394,311,GAT,Cora,0.15,122,122
123,0.7962,0.6254,0.6188,0.6322,440,1619,271,256,GraphSage,Cora,0.15,122,122
124,0.8384,0.647,0.7848,0.5503,383,1785,105,313,RGCN,Cora,0.15,122,122
125,0.8484,0.7088,0.7338,0.6853,477,1717,173,219,RGAT,Cora,0.15,122,122
126,0.8476,0.6848,0.7726,0.6149,428,1764,126,268,RGraphSage,Cora,0.15,122,122
127,0.8171,0.687,0.6368,0.7457,519,1594,296,177,DropEdgeGCN,Cora,0.15,122,122
128,0.5395,0.3467,0.273,0.4748,311,1062,828,344,SkipNodeGCN,Cora,0.2,163,163
129,0.791,0.6679,0.5649,0.8168,535,1478,412,120,GCN,Cora,0.2,163,163
130,0.8385,0.6855,0.6871,0.684,448,1686,204,207,GAT,Cora,0.2,163,163
131,0.8743,0.7492,0.7697,0.7298,478,1747,143,177,GraphSage,Cora,0.2,163,163
132,0.8582,0.6774,0.8168,0.5786,379,1805,85,276,RGCN,Cora,0.2,163,163
133,0.8644,0.7089,0.7925,0.6412,420,1780,110,235,RGAT,Cora,0.2,163,163
134,0.8743,0.744,0.7815,0.7099,465,1760,130,190,RGraphSage,Cora,0.2,163,163
135,0.8668,0.737,0.7492,0.7252,475,1731,159,180,DropEdgeGCN,Cora,0.2,163,163
136,0.2452,0.3938,0.2452,1.0,614,0,1890,0,SkipNodeGCN,Cora,0.25,204,204
137,0.7947,0.6334,0.5635,0.7231,444,1546,344,170,GCN,Cora,0.25,204,204
138,0.853,0.7047,0.6946,0.715,439,1697,193,175,GAT,Cora,0.25,204,204
139,0.8235,0.6286,0.6493,0.6091,374,1688,202,240,GraphSage,Cora,0.25,204,204
140,0.895,0.7567,0.8758,0.6661,409,1832,58,205,RGCN,Cora,0.25,204,204
141,0.8878,0.7575,0.8055,0.715,439,1784,106,175,RGAT,Cora,0.25,204,204
142,0.8946,0.7626,0.8514,0.6906,424,1816,74,190,RGraphSage,Cora,0.25,204,204
143,0.8107,0.6208,0.6101,0.6319,388,1642,248,226,DropEdgeGCN,Cora,0.25,204,204
144,0.3381,0.4181,0.2839,0.7926,642,271,1619,168,SkipNodeGCN,Cora,0.01,8,8
145,0.5956,0.4911,0.3945,0.6506,527,1081,809,283,GCN,Cora,0.01,8,8
146,0.717,0.5103,0.5307,0.4914,398,1538,352,412,GAT,Cora,0.01,8,8
147,0.8307,0.7191,0.716,0.7222,585,1658,232,225,GraphSage,Cora,0.01,8,8
148,0.8422,0.711,0.7892,0.6469,524,1750,140,286,RGCN,Cora,0.01,8,8
149,0.8396,0.7084,0.7793,0.6494,526,1741,149,284,RGAT,Cora,0.01,8,8
150,0.7052,0.4721,0.51,0.4395,356,1548,342,454,RGraphSage,Cora,0.01,8,8
151,0.7874,0.5509,0.7521,0.4346,352,1774,116,458,DropEdgeGCN,Cora,0.01,8,8
152,0.3969,0.3953,0.2793,0.6761,526,533,1357,252,SkipNodeGCN,Cora,0.05,40,40
153,0.8036,0.7222,0.6146,0.8753,681,1463,427,97,GCN,Cora,0.05,40,40
154,0.8639,0.7644,0.772,0.7571,589,1716,174,189,GAT,Cora,0.05,40,40
155,0.8621,0.7353,0.835,0.6568,511,1789,101,267,GraphSage,Cora,0.05,40,40
