,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
149,0.8458,0.6394,0.5989,0.6858,454,2355,304,208,RGraphSage,CiteSeer,0.01,6,6
150,0.4451,0.3995,0.2524,0.9575,608,858,1801,27,GCN,CiteSeer,0.05,33,33
151,0.5358,0.4397,0.2865,0.9449,600,1165,1494,35,GAT,CiteSeer,0.05,33,33
152,0.7359,0.5593,0.4122,0.8693,552,1872,787,83,GraphSage,CiteSeer,0.05,33,33
153,0.8871,0.6895,0.7336,0.6504,413,2509,150,222,RGCN,CiteSeer,0.05,33,33
154,0.8658,0.6687,0.6381,0.7024,446,2406,253,189,RGAT,CiteSeer,0.05,33,33
155,0.8722,0.6477,0.6911,0.6094,387,2486,173,248,RGraphSage,CiteSeer,0.05,33,33
156,0.5468,0.4363,0.2832,0.9502,572,1211,1448,30,GCN,CiteSeer,0.1,66,66
157,0.5296,0.4127,0.2682,0.8953,539,1188,1471,63,GAT,CiteSeer,0.1,66,66
158,0.8255,0.6298,0.5176,0.804,484,2208,451,118,GraphSage,CiteSeer,0.1,66,66
159,0.8684,0.6593,0.6317,0.6894,415,2417,242,187,RGCN,CiteSeer,0.1,66,66
160,0.8856,0.6587,0.7332,0.598,360,2528,131,242,RGAT,CiteSeer,0.1,66,66
161,0.885,0.6819,0.6967,0.6678,402,2484,175,200,RGraphSage,CiteSeer,0.1,66,66
162,0.5324,0.4167,0.267,0.9489,539,1179,1480,29,GCN,CiteSeer,0.15,100,100
163,0.5494,0.4198,0.2714,0.9261,526,1247,1412,42,GAT,CiteSeer,0.15,100,100
164,0.7453,0.5398,0.3957,0.8486,482,1923,736,86,GraphSage,CiteSeer,0.15,100,100
165,0.8826,0.6448,0.6894,0.6056,344,2504,155,224,RGCN,CiteSeer,0.15,100,100
166,0.8745,0.6168,0.6667,0.5739,326,2496,163,242,RGAT,CiteSeer,0.15,100,100
167,0.872,0.5891,0.6773,0.5211,296,2518,141,272,RGraphSage,CiteSeer,0.15,100,100
168,0.3566,0.3347,0.2024,0.9664,517,622,2037,18,GCN,CiteSeer,0.2,133,133
169,0.7909,0.5588,0.4321,0.7907,423,2103,556,112,GAT,CiteSeer,0.2,133,133
170,0.7874,0.5571,0.4279,0.7981,427,2088,571,108,GraphSage,CiteSeer,0.2,133,133
171,0.8882,0.649,0.6846,0.6168,330,2507,152,205,RGCN,CiteSeer,0.2,133,133
172,0.8898,0.6602,0.6826,0.6393,342,2500,159,193,RGAT,CiteSeer,0.2,133,133
173,0.8594,0.58,0.5805,0.5794,310,2435,224,225,RGraphSage,CiteSeer,0.2,133,133
174,0.581,0.4223,0.2702,0.9661,484,1352,1307,17,GCN,CiteSeer,0.25,167,167
175,0.5373,0.372,0.237,0.8643,433,1265,1394,68,GAT,CiteSeer,0.25,167,167
176,0.7842,0.5335,0.4058,0.7784,390,2088,571,111,GraphSage,CiteSeer,0.25,167,167
177,0.9057,0.683,0.7312,0.6407,321,2541,118,180,RGCN,CiteSeer,0.25,167,167
178,0.8978,0.668,0.6886,0.6487,325,2512,147,176,RGAT,CiteSeer,0.25,167,167
179,0.8959,0.6389,0.7098,0.5808,291,2540,119,210,RGraphSage,CiteSeer,0.25,167,167
