,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
159,0.818,0.6658,0.5843,0.7739,1352,4747,962,395,RGCN,Photo,0.1,194,194
160,0.8255,0.6566,0.6092,0.7121,1244,4911,798,503,RGAT,Photo,0.1,194,194
161,0.8132,0.6462,0.5808,0.7281,1272,4791,918,475,RGraphSage,Photo,0.1,194,194
162,0.546,0.4731,0.3198,0.9091,1500,2518,3191,150,GCN,Photo,0.15,291,291
163,0.7337,0.6206,0.4559,0.9715,1603,3796,1913,47,GAT,Photo,0.15,291,291
164,0.7758,0.0,0.0,0.0,0,5709,0,1650,GraphSage,Photo,0.15,291,291
165,0.8664,0.6858,0.7255,0.6503,1073,5303,406,577,RGCN,Photo,0.15,291,291
166,0.9,0.7467,0.8639,0.6576,1085,5538,171,565,RGAT,Photo,0.15,291,291
167,0.7839,0.1479,0.6389,0.0836,138,5631,78,1512,RGraphSage,Photo,0.15,291,291
168,0.5891,0.5092,0.3419,0.9968,1548,2730,2979,5,GCN,Photo,0.2,388,388
169,0.6354,0.5377,0.3689,0.9916,1540,3074,2635,13,GAT,Photo,0.2,388,388
170,0.7972,0.632,0.5163,0.8146,1265,4524,1185,288,GraphSage,Photo,0.2,388,388
171,0.8999,0.7606,0.7783,0.7437,1155,5380,329,398,RGCN,Photo,0.2,388,388
172,0.852,0.7073,0.6127,0.8364,1299,4888,821,254,RGAT,Photo,0.2,388,388
173,0.7859,0.0,0.0,0.0,0,5707,2,1553,RGraphSage,Photo,0.2,388,388
174,0.6336,0.5216,0.355,0.9828,1431,3109,2600,25,GCN,Photo,0.25,485,485
175,0.7608,0.6167,0.4572,0.9471,1379,4072,1637,77,GAT,Photo,0.25,485,485
176,0.8017,0.6258,0.5075,0.8159,1188,4556,1153,268,GraphSage,Photo,0.25,485,485
177,0.9112,0.7886,0.7642,0.8146,1186,5343,366,270,RGCN,Photo,0.25,485,485
178,0.907,0.7673,0.7809,0.7541,1098,5401,308,358,RGAT,Photo,0.25,485,485
179,0.9338,0.8299,0.8692,0.794,1156,5535,174,300,RGraphSage,Photo,0.25,485,485
