,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
57,0.2015,0.3354,0.2015,1.0,0,187,0,741,RCSVM,PubMed,0.12,928,928
58,0.5474,0.7075,0.5474,1.0,0,508,0,420,PU_LP,PubMed,0.12,928,928
59,0.8588,0.9241,0.8588,1.0,0,797,0,131,LP_PUL,PubMed,0.12,928,928
60,0.8936,0.9438,0.8936,1.0,0,899,0,107,MCLS,PubMed,0.13,1006,1006
61,0.671,0.8031,0.671,1.0,0,675,0,331,CCRNE,PubMed,0.13,1006,1006
62,0.1859,0.3135,0.1859,1.0,0,187,0,819,RCSVM,PubMed,0.13,1006,1006
63,0.6431,0.7828,0.6431,1.0,0,647,0,359,PU_LP,PubMed,0.13,1006,1006
64,0.8579,0.9235,0.8579,1.0,0,863,0,143,LP_PUL,PubMed,0.13,1006,1006
65,0.892,0.9429,0.892,1.0,0,966,0,117,MCLS,PubMed,0.14,1083,1083
66,0.759,0.863,0.759,1.0,0,822,0,261,CCRNE,PubMed,0.14,1083,1083
67,0.2022,0.3364,0.2022,1.0,0,219,0,864,RCSVM,PubMed,0.14,1083,1083
68,0.6436,0.7831,0.6436,1.0,0,697,0,386,PU_LP,PubMed,0.14,1083,1083
69,0.867,0.9288,0.867,1.0,0,939,0,144,LP_PUL,PubMed,0.14,1083,1083
70,0.8845,0.9387,0.8845,1.0,0,1026,0,134,MCLS,PubMed,0.15,1160,1160
71,0.7328,0.8458,0.7328,1.0,0,850,0,310,CCRNE,PubMed,0.15,1160,1160
72,0.1966,0.3285,0.1966,1.0,0,228,0,932,RCSVM,PubMed,0.15,1160,1160
73,0.6474,0.786,0.6474,1.0,0,751,0,409,PU_LP,PubMed,0.15,1160,1160
74,0.8793,0.9358,0.8793,1.0,0,1020,0,140,LP_PUL,PubMed,0.15,1160,1160
75,0.8869,0.9401,0.8869,1.0,0,1098,0,140,MCLS,PubMed,0.16,1238,1238
76,0.7189,0.8365,0.7189,1.0,0,890,0,348,CCRNE,PubMed,0.16,1238,1238
77,0.1963,0.3282,0.1963,1.0,0,243,0,995,RCSVM,PubMed,0.16,1238,1238
78,0.6115,0.7589,0.6115,1.0,0,757,0,481,PU_LP,PubMed,0.16,1238,1238
79,0.8643,0.9272,0.8643,1.0,0,1070,0,168,LP_PUL,PubMed,0.16,1238,1238
80,0.8867,0.9399,0.8867,1.0,0,1166,0,149,MCLS,PubMed,0.17,1315,1315
81,0.7544,0.86,0.7544,1.0,0,992,0,323,CCRNE,PubMed,0.17,1315,1315
82,0.2023,0.3365,0.2023,1.0,0,266,0,1049,RCSVM,PubMed,0.17,1315,1315
83,0.6897,0.8164,0.6897,1.0,0,907,0,408,PU_LP,PubMed,0.17,1315,1315
84,0.876,0.9339,0.876,1.0,0,1152,0,163,LP_PUL,PubMed,0.17,1315,1315
85,0.8787,0.9354,0.8787,1.0,0,1224,0,169,MCLS,PubMed,0.18,1393,1393
86,0.7394,0.8502,0.7394,1.0,0,1030,0,363,CCRNE,PubMed,0.18,1393,1393
87,0.206,0.3417,0.206,1.0,0,287,0,1106,RCSVM,PubMed,0.18,1393,1393
88,0.5858,0.7388,0.5858,1.0,0,816,0,577,PU_LP,PubMed,0.18,1393,1393
89,0.8751,0.9334,0.8751,1.0,0,1219,0,174,LP_PUL,PubMed,0.18,1393,1393
90,0.8918,0.9428,0.8918,1.0,0,1311,0,159,MCLS,PubMed,0.19,1470,1470
91,0.7483,0.856,0.7483,1.0,0,1100,0,370,CCRNE,PubMed,0.19,1470,1470
92,0.2143,0.3529,0.2143,1.0,0,315,0,1155,RCSVM,PubMed,0.19,1470,1470
93,0.6102,0.7579,0.6102,1.0,0,897,0,573,PU_LP,PubMed,0.19,1470,1470
94,0.8755,0.9336,0.8755,1.0,0,1287,0,183,LP_PUL,PubMed,0.19,1470,1470
