,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
160,0.89,0.8627,0.909,0.821,5852,9210,586,1276,RGAT,dblp,0.1,792,792
161,0.8898,0.861,0.9187,0.81,5774,9285,511,1354,RGraphSage,dblp,0.1,792,792
162,0.8711,0.8474,0.818,0.8791,5918,8479,1317,814,GCN,dblp,0.15,1188,1188
163,0.8682,0.8403,0.8298,0.851,5729,8621,1175,1003,GAT,dblp,0.15,1188,1188
164,0.8575,0.8322,0.7998,0.8672,5838,8335,1461,894,GraphSage,dblp,0.15,1188,1188
165,0.8811,0.8508,0.8699,0.8324,5604,8958,838,1128,RGCN,dblp,0.15,1188,1188
166,0.899,0.8661,0.9413,0.8021,5400,9459,337,1332,RGAT,dblp,0.15,1188,1188
167,0.8759,0.8429,0.8699,0.8176,5504,8973,823,1228,RGraphSage,dblp,0.15,1188,1188
168,0.8516,0.8283,0.7591,0.9113,5774,7964,1832,562,GCN,dblp,0.2,1584,1584
169,0.8525,0.8224,0.7799,0.8699,5512,8240,1556,824,GAT,dblp,0.2,1584,1584
170,0.8582,0.8197,0.8191,0.8202,5197,8648,1148,1139,GraphSage,dblp,0.2,1584,1584
171,0.8793,0.8454,0.8506,0.8403,5324,8861,935,1012,RGCN,dblp,0.2,1584,1584
172,0.8823,0.8455,0.8731,0.8196,5193,9041,755,1143,RGAT,dblp,0.2,1584,1584
173,0.8732,0.8251,0.9004,0.7615,4825,9262,534,1511,RGraphSage,dblp,0.2,1584,1584
174,0.8489,0.8181,0.7497,0.9002,5347,8011,1785,593,GCN,dblp,0.25,1980,1980
175,0.8717,0.8336,0.8167,0.8512,5056,8661,1135,884,GAT,dblp,0.25,1980,1980
176,0.8565,0.8194,0.7805,0.8625,5123,8355,1441,817,GraphSage,dblp,0.25,1980,1980
177,0.8841,0.849,0.8354,0.863,5126,8786,1010,814,RGCN,dblp,0.25,1980,1980
178,0.8886,0.8537,0.8467,0.8608,5113,8870,926,827,RGAT,dblp,0.25,1980,1980
179,0.8943,0.8489,0.9222,0.7864,4671,9402,394,1269,RGraphSage,dblp,0.25,1980,1980
