,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,1.0,1.0,1.0,1.0,,,,,MCLS,Photo,0.01,19,19
1,0.8947,0.9444,0.8947,1.0,0,17,0,2,CCRNE,Photo,0.01,19,19
2,0.2632,0.4167,0.2632,1.0,0,5,0,14,RCSVM,Photo,0.01,19,19
3,0.3158,0.48,0.3158,1.0,0,6,0,13,PU_LP,Photo,0.01,19,19
4,0.8947,0.9444,0.8947,1.0,0,17,0,2,LP_PUL,Photo,0.01,19,19
5,1.0,1.0,1.0,1.0,,,,,MCLS,Photo,0.02,38,38
6,0.8158,0.8986,0.8158,1.0,0,31,0,7,CCRNE,Photo,0.02,38,38
7,0.0526,0.1,0.0526,1.0,0,2,0,36,RCSVM,Photo,0.02,38,38
