,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
232,0.8075,0.0031,1.0,0.0016,1,2659,0,634,RCSVM,CiteSeer,0.05,0,33
233,0.8352,0.505,0.5996,0.4362,277,2474,185,358,GCN,CiteSeer,0.05,33,33
234,0.8124,0.4341,0.5186,0.3732,237,2439,220,398,GAT,CiteSeer,0.05,33,33
235,0.8352,0.3634,0.711,0.2441,155,2596,63,480,GraphSage,CiteSeer,0.05,33,33
236,0.8597,0.5305,0.7479,0.411,261,2571,88,374,RGCN,CiteSeer,0.05,33,33
237,0.8421,0.4617,0.6737,0.3512,223,2551,108,412,RGAT,CiteSeer,0.05,33,33
238,0.8221,0.4957,0.5465,0.4535,288,2420,239,347,RGraphSage,CiteSeer,0.05,33,33
239,0.8892,0.7087,0.7184,0.6992,444,2485,174,191,DropEdgeGCN,CiteSeer,0.05,33,33
240,0.7213,0.5203,0.3813,0.8189,493,1859,800,109,MCLS,CiteSeer,0.1,66,66
241,0.8372,0.2203,0.9494,0.1246,75,2655,4,527,CCRNE,CiteSeer,0.1,66,66
242,0.8185,0.1615,0.5481,0.0947,57,2612,47,545,PU_LP,CiteSeer,0.1,66,66
243,0.8194,0.1622,0.5644,0.0947,57,2615,44,545,LP_PUL,CiteSeer,0.1,66,66
244,0.8157,0.0033,1.0,0.0017,1,2659,0,601,RCSVM,CiteSeer,0.1,0,66
245,0.8485,0.4019,0.7411,0.2757,166,2601,58,436,GCN,CiteSeer,0.1,66,66
246,0.8307,0.3655,0.5933,0.2641,159,2550,109,443,GAT,CiteSeer,0.1,66,66
247,0.8454,0.422,0.6815,0.3056,184,2573,86,418,GraphSage,CiteSeer,0.1,66,66
248,0.847,0.4245,0.6943,0.3056,184,2578,81,418,RGCN,CiteSeer,0.1,66,66
249,0.8448,0.3579,0.7581,0.2342,141,2614,45,461,RGAT,CiteSeer,0.1,66,66
250,0.8433,0.4023,0.6798,0.2857,172,2578,81,430,RGraphSage,CiteSeer,0.1,66,66
251,0.8792,0.5887,0.7921,0.4684,282,2585,74,320,DropEdgeGCN,CiteSeer,0.1,66,66
252,0.5442,0.4013,0.261,0.868,493,1263,1396,75,MCLS,CiteSeer,0.15,100,100
