,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
167,0.8153,0.6974,0.8318,0.6004,3950,11179,799,2629,RGraphSage,PubMed,0.15,1160,1160
168,0.5273,0.5836,0.417,0.9722,6020,3561,8417,172,GCN,PubMed,0.2,1547,1547
169,0.6273,0.6269,0.4757,0.9188,5689,5709,6269,503,GAT,PubMed,0.2,1547,1547
170,0.5515,0.5533,0.4188,0.8151,5047,4973,7005,1145,GraphSage,PubMed,0.2,1547,1547
171,0.808,0.6508,0.8562,0.5249,3250,11432,546,2942,RGCN,PubMed,0.2,1547,1547
172,0.8104,0.6631,0.8404,0.5476,3391,11334,644,2801,RGAT,PubMed,0.2,1547,1547
173,0.8515,0.771,0.8124,0.7337,4543,10929,1049,1649,RGraphSage,PubMed,0.2,1547,1547
174,0.5929,0.5991,0.4415,0.9316,5408,5136,6842,397,GCN,PubMed,0.25,1934,1934
175,0.6938,0.6556,0.5179,0.893,5184,7153,4825,621,GAT,PubMed,0.25,1934,1934
176,0.6754,0.5958,0.5019,0.7328,4254,7757,4221,1551,GraphSage,PubMed,0.25,1934,1934
177,0.7813,0.5369,0.8696,0.3883,2254,11640,338,3551,RGCN,PubMed,0.25,1934,1934
178,0.7832,0.5427,0.871,0.3941,2288,11639,339,3517,RGAT,PubMed,0.25,1934,1934
179,0.8356,0.6964,0.8764,0.5778,3354,11505,473,2451,RGraphSage,PubMed,0.25,1934,1934
