,acc,f1,precision,recall,1/1,0/0,0/1,1/0,model,dataset,rate,length negatives,length positives
0,0.6709,0.803,0.6709,1.0,0,53,0,26,RGCN,DBLP,0.01,79,79
1,0.5316,0.6942,0.5316,1.0,0,42,0,37,DropEdgeGCN,DBLP,0.01,79,79
2,0.8734,0.9324,0.8734,1.0,0,69,0,10,SkipNodeGCN,DBLP,0.01,79,79
3,0.8384,0.9121,0.8384,1.0,0,332,0,64,RGCN,DBLP,0.05,396,396
4,0.75,0.8571,0.75,1.0,0,297,0,99,DropEdgeGCN,DBLP,0.05,396,396
5,0.8308,0.9076,0.8308,1.0,0,329,0,67,SkipNodeGCN,DBLP,0.05,396,396
6,0.875,0.9333,0.875,1.0,0,693,0,99,RGCN,DBLP,0.1,792,792
